,name,synonyms
1,acceptance,"['acceptance','acceptances','accept','accepts','accepted','accepting','acceptings','acceptable','acceptables','acceptor','acceptors','confirm','confirms', 'confirmed', 'confirming', 'confirmings', 'confirmation', 'confirmations', 'tolerate', 'tolerates', 'tolerated', 'tolerating', 'toleratings', 'toleration', 'tolerations', 'integrate', 'integrations', 'integrates', 'integrated', 'integrating', 'integratings', 'integration', 'affirm', 'affirms', 'affirming', 'affirmings', 'affirmed', 'affirmation', 'affirmations', 'undertake', 'undertakes', 'undertook', 'undertaken', 'undertakings', 'undertaking', 'welcome', 'welcomes', 'welcomed', 'welcoming', 'welcomings', 'ratify', 'ratifies', 'ratified', 'ratifying', 'ratificate', 'ratificates', 'ratificated', 'ratificating', 'ratificatings', 'ratification', 'ratifications', 'take', 'takes', 'took', 'takings', 'taking', 'taken', 'embrace', 'embraces', 'embraced', 'embracings', 'embracing', 'embraceable', 'embraceables', 'receives', 'receivings', 'received', 'receivable', 'receivables', 'receiving', 'receive', 'welcoming', 'traction', 'tractions', 'tracts', 'tract', 'tracting', 'tractings', 'tracted', 'acquire', 'acquires', 'acquired', 'acquirings', 'acquiring', 'embrace', 'embraces', 'embraced', 'embracing', 'embracings', 'embraceable', 'embraceables', 'embracable', 'embracables', 'suffer', 'suffers', 'suffered', 'suffering', 'sufferings', 'sufferances', 'sufferance', 'swallow', 'swallows', 'swallowed', 'swallowings', 'swallowing', 'endure', 'endures', 'enduring', 'endurings', 'endurement', 'endurements', 'endurance', 'endurances', 'endurant', 'endurants', 'assumption', 'assumptions', 'assumed', 'assumes', 'assume', 'assumming', 'assuming', 'assumings', 'assummings', 'tackle', 'tackles', 'tackled', 'tackler', 'tackling', 'tacklings', 'approve', 'approves', 'approving', 'approvings', 'approval', 'approvals', 'approved', 'adopt', 'adopts', 'adopted', 'adopting', 'adoptings', 'adoptions', 'adoption', 'forbearances', 'forbear', 'forbeared', 'forbearable', 'forbearabled', 'forbearance', 'forbearances', 'obtain', 'obtains', 'obtainer', 'obtainee', 'obtainings', 'obtained', 'obtaining', 'obtainable', 'obtainables']"
2,admiration,"['admire', 'admires', 'admired', 'admirable', 'admirables', 'admiring', 'admirings', 'admiration', 'admirations', 'respect', 'respects', 'respected', 'respectful', 'respectfulness', 'respecting', 'respectings', 'joy', 'joyous', 'enjoy', 'joys', 'enjoys', 'enjoyed', 'enjoyable', 'enjoyables', 'enjoying', 'enjoyings', 'enjoyment', 'enjoyments', 'pride', 'prides', 'proud', 'proudful', 'proudfuls', 'proudness', 'proudnesses', 'proudly', 'prouds', 'sense', 'senses', 'sensed', 'sensing', 'sensings', 'sensations', 'sensation', 'adulated', 'adulations', 'adulating', 'adulatings', 'adulation', 'esteems', 'esteemed', 'esteem', 'venerate', 'venerates', 'venerated', 'venerating', 'veneratings', 'venerations', 'veneration', 'laud', 'lauds', 'lauding', 'laudings', 'lauded', 'laudations', 'laudation', 'tribute', 'tributed', 'truting', 'tributings', 'tributes', 'regard', 'regards', 'regarding', 'regardings', 'regarded', 'commends', 'commending', 'commendings', 'commendation', 'commendations', 'appreciate', 'appreciates', 'appreciated', 'appreciating', 'appreciatings', 'appreciations', 'appreciation', 'applause', 'applauses', 'applaused', 'applausable', 'applausing', 'applausings', 'wonder', 'wonders', 'wondered', 'wondering', 'wonderings', 'wonderful', 'wonderfuls', 'wonderness', 'wondernesses', 'wonderfulness', 'wonderfulnesses', 'praise', 'praises', 'praised', 'praising', 'praisings', 'praisable', 'praisables', 'marvel', 'marvels', 'marvellous', 'marvellousness', 'marvellousnesses', 'delight', 'delights', 'delightful', 'delightfuls', 'delighted', 'delightness', 'delightnesses', 'delightfulness', 'delightfulnesses', 'acclaim', 'acclaims', 'acclaimed', 'acclaiming', 'acclaimings', 'acclaimable', 'acclaimables', 'accolade', 'accolades', 'approve', 'approves', 'approved', 'approval', 'approvals', 'approving', 'approvings', 'approvable', 'approvables', 'plaudit', 'plaudits', 'approbate', 'approbates', 'approbating', 'approbatings', 'approbation', 'approbations', 'compliment', 'complemented', 'complimeting', 'complimentings', 'complimentation', 'complimentations', 'compliments']"
3,affection,"['affect', 'affects', 'affection', 'affections', 'affected', 'affectable', 'affectables', 'affectionates', 'affectionate', 'endear', 'endears', 'endearing', 'endearings', 'endearment', 'endearments', 'affinity', 'affinities', 'feel', 'feels', 'felt', 'feelings', 'feeling', 'respect', 'respects', 'respected', 'respecting', 'respectings', 'respectful', 'respectfuls', 'respectfulness', 'respectfulnesses', 'friend', 'mate', 'friends', 'friendships', 'friendship', 'admire', 'admires', 'admired', 'admirable', 'admirables', 'admiring', 'admirings', 'admiration', 'admirations', 'like', 'likes', 'liked', 'liking', 'likings', 'likeable', 'likeables', 'fondly', 'likely', 'likelies', 'fonds', 'fond', 'fondliness', 'fondlinesses', 'fondling', 'fondings', 'fondful', 'fondness', 'fondnesses', 'attentive', 'attentives', 'attention', 'attending', 'attendings', 'attentions', 'attentiveness', 'attentivenesses', 'familiar', 'familiarities', 'familiars', 'familiarity', 'friendly', 'friendlies', 'friendliness', 'close', 'closenesses', 'closely', 'closelies', 'closeness', 'attaches', 'attach', 'attached', 'attaching', 'attachings', 'attachment', 'attachments', 'sentiment', 'sentiments', 'warm', 'warms', 'warmnesses', 'warmth', 'warmths', 'warmness', 'warmnesses', 'amity', 'amities', 'devote', 'devotes', 'devoted', 'devotee', 'devoter', 'devotees', 'devoters', 'devoting', 'devotings', 'devotion', 'devotions', 'regard', 'regards', 'regardness', 'regardnesses', 'care', 'cares', 'regarded', 'cared', 'careful', 'carefulness', 'carefulnesses', 'warmth', 'intimacy', 'intimacies', 'favour', 'favours', 'favoured', 'favourable', 'favourables', 'favouring', 'favourings', 'tender', 'tenders', 'tendered', 'tendering', 'tenderings', 'tenderful', 'tenderfuls', 'tenderfulness', 'tenderfulnesses', 'tenderness', 'tendernesses', 'love', 'loves', 'loved', 'loveable', 'loveables', 'lovable', 'lovables', 'loving', 'lovings', 'carings', 'caring']"
4,aggravation,"['aggravation', 'aggravated', 'aggravate', 'aggravates', 'aggravatable', 'aggravatables', 'aggravating', 'aggravatings', 'aggravations', 'pest', 'pests', 'pesting', 'pested', 'pestings', 'trial', 'trials', 'trialed', 'trialing', 'trialings', 'worsen', 'worse', 'worsens', 'worsening', 'worsenings', 'infuriate', 'infuriating', 'infuriatings', 'infuriates', 'infuriated', 'infuriation', 'infuriations', 'bother', 'bothers', 'bothered', 'bothering', 'botherings', 'difficult', 'difficults', 'difficulties', 'hard', 'hardness', 'hardnesses', 'difficulty', 'magnify', 'magnifies', 'magnified', 'magnifying', 'magnifyings', 'magnifiable', 'magnifiables', 'hassle', 'hassles', 'hassled', 'hassling', 'hasslings', 'exacerbate', 'exacerbates', 'exacerbated', 'exacerbating', 'exacerbatings', 'exacerbatable', 'exacerbatables', 'snags', 'snag', 'snagged', 'snagging', 'snaggings', 'exacerbation', 'exacerbations', 'trouble', 'troubles', 'troubled', 'intense', 'intenses', 'intensify', 'intensifying', 'intensifyings', 'intensifications', 'intensification', 'increase', 'increases', 'increasings', 'increasing', 'increased', 'increaser', 'headache', 'headaches', 'pain', 'pains', 'pained', 'paining', 'painings', 'painable', 'painables', 'grievances', 'grievance', 'aggro', 'aggros', 'inflame', 'inflamed', 'inflaming', 'inflamings', 'inflammation', 'inflammations', 'magnification', 'augment', 'augments', 'augmented', 'augmenting', 'augmentings', 'heighten', 'heightened', 'heightens', 'heightenings', 'heightening', 'annoy', 'annoys', 'annoyed', 'annoying', 'annoyings', 'annoyance', 'annoyances', 'exasperate', 'exasperating', 'exasperatings', 'exasperation', 'exasperates', 'exasperations', 'nuisances', 'nuisance', 'heighten', 'amplify', 'noise', 'noises', 'sound', 'sounds', 'quarrel', 'quarrels', 'ampifies', 'amplified', 'amplifying', 'amplifyings', 'amplification', 'amplifications', 'compound', 'compounds', 'compoundness', 'compounded', 'compounding', 'compoundings', 'irritant', 'irritate', 'irritates', 'irritatings', 'irritated', 'incovenient', 'inconvenients', 'inconveniences', 'inconvenience', 'problem', 'problems', 'problemmatic', 'problemmatics', 'irritation', 'irritations', 'vexing', 'vex', 'vexes', 'vexed', 'vexing', 'vexings', 'vexations', 'vexation', 'augmentation', 'augmentations', 'augmented', 'augmenting', 'augmentings']"
5,anger,"['anger', 'angered', 'angers', 'angry', 'angrily', 'angrilies', 'exasperate', 'exasperated', 'exasperatable', 'exasperatables', 'empurple', 'empurpled', 'empurples', 'bile', 'biles', 'biled', 'bug', 'bugs', 'bugged', 'choler', 'cholers', 'nark', 'displease', 'displeased', 'displeasings', 'displeasing', 'incense', 'incensed', 'incensing', 'incensings', 'ruffle', 'ruffler', 'ruffles', 'ruffled', 'ruffling', 'rufflings', 'indignate', 'indignated', 'indignates', 'indignating', 'indignatings', 'indignation', 'indignations', 'dyspepsia', 'dyspepsias', 'mad', 'mads', 'madden', 'maddens', 'maddened', 'aggravate', 'aggravates', 'aggravating', 'aggravatings', 'aggravations', 'aggravation', 'irritate', 'irritates', 'irritated', 'irritations', 'irritation', 'irritating', 'irritatings', 'irritability', 'irritabilities', 'annoy', 'annoys', 'annoying', 'annoyings', 'peeve', 'peeves', 'peeved', 'peeving', 'peevings', 'peevable', 'peevables', 'displeasures', 'displeasured', 'displeasuring', 'displeasurings', 'displeasure', 'enrage', 'enraging', 'enraged', 'enrageable', 'enrageabled', 'enrageables', 'enragings', 'inflame', 'inflames', 'inflamed', 'inflamming', 'inflammings', 'inflammable', 'inflammables', 'outrage', 'outraged', 'outraging', 'outragings', 'irk', 'irked', 'irks', 'irking', 'irkings', 'annoyance', 'annoyances', 'spleen', 'spleens', 'spleened', 'exasperation', 'exasperations', 'exasperating', 'exasperatings', 'wrath', 'wraths', 'wrathed', 'pique', 'piqued', 'ire', 'ires', 'ired', 'pisses', 'piss', 'pissing', 'pissings', 'pissed', 'vex', 'vexes', 'vexed', 'vexable', 'vexables', 'vexabled', 'madden', 'aggravate', 'aggravates', 'aggravating', 'aggravatings', 'aggravated', 'antagonize', 'antagonizes', 'antagonized', 'antagonizing', 'antagonizings', 'provoke', 'provokes', 'provoked', 'provoking', 'provokings', 'resentments', 'resentment', 'resentmenting', 'resentmentings', 'rage', 'raged', 'rageness', 'regenesses', 'rile', 'riles', 'vexation', 'vexations', 'gall', 'galled', 'galls', 'galling', 'gallings', 'infuriate', 'infuriates', 'infuriating', 'infuriatings', 'infuriation', 'infuriations', 'infuriated', 'needle', 'needles', 'needled', 'miff', 'miffs', 'nettle', 'nettles', 'nettled', 'nettling', 'nettlings', 'fury', 'furies', 'furious', 'furiousness', 'furiousnesses', 'gravel', 'gravels', 'gravelled', 'graveled', 'gravelling', 'gravellings', 'graveling', 'gravelings']"
6,anguish,"['anguish', 'anguishes', 'anguished', 'anguishing', 'anguishingly', 'anguishingly', 'anguishinglies', 'misery', 'miseries', 'heartaches', 'heartache', 'desolated', 'desolate', 'desolates', 'desolating', 'desolatings', 'desolation', 'desolations', 'unhappy', 'unhappiness', 'unhappinesses', 'tortures', 'torture', 'tortured', 'torturing', 'torturings','turturable', 'torturables', 'grief', 'griefs', 'despair', 'despairs', 'despaired', 'despairing', 'despairings', 'despairable', 'despairables', 'despairabled', 'purgatories', 'purgatory', 'woe', 'woes', 'woing', 'heartbreak', 'heartbreaks', 'heartbroke', 'heartbroken', 'dolour', 'dolours', 'angst', 'sorrow', 'sorrows', 'suffer', 'suffers', 'sufferings', 'suffering', 'suffered', 'sufferable', 'sufferables', 'agony', 'agonies', 'agonized', 'agonizing', 'agonizes', 'distress', 'distresses', 'distressing', 'distressings', 'distressful', 'distressfuls', 'torment', 'torments', 'tormented', 'tormenting', 'tormentings', 'pain', 'pains', 'pained', 'painable', 'painables', 'paining', 'painings']"
7,anxiety,"['anxiety','anxieties','agitation','agitated','agitate','agitates','agitative','agitating', 'agitations', 'agitatings', 'disquieting', 'disquiet','disquiets','disquieted','disquietude','long','longs', 'longing', 'worriment', 'worriments', 'worry','worries','worried','worrying', 'worryings', 'worriness', 'worrinesses', 'jittery','jittered','jittering', 'jitters', 'jitterings', 'jitteries', 'jitter','jitteriness','anguish', 'anguishes', 'anguished', 'anguishing', 'anguishings', 'angsting','angsted','angsts' 'angst', 'fretfulness','fretfulnesses','fretful','fretfuling','fretfulings','perturb','perturbing','perturbs', 'perturbation','perturbations', 'fearfulness','fearfulnesses','fearful','fearfuls','fear','fearing','fears','feared','desires','desired','desired', 'desire', 'nervousness','nervousnesses','nervous','nerved','nerving','nervings','twitches','twitch','twitching','twitchings','twitched', 'twitchiness', 'keenness','keen','keens','keenly','keened','keenetic', 'keenetics', 'apprehensiveness', 'apprehensivenesses', 'apprehend','apprehended','apprehens','apprehending','apprehendeth', 'apprehendest', 'apprehension', 'tenseness','tensioned','tensions','tensioning', 'tensionings','concerned', 'concern','concerning','concernings','concerns','concerneth', 'concernest', 'suspense', 'suspenses','suspensedest','suspenseding','suspenseded','suspensed', 'impatience','impatient','impatienced','impatiening','impatiences', 'trepidation', 'trepidations', 'trepid','trepids','trepided','trepidest', 'foreboding', 'forebodings','forebodes','foreboded','uneasy','uneasing','uneasings', 'unease', 'uneases', 'uneasiness', 'collywobbles','collywobble','collywobbled','collywobbling', 'collywobblings', 'disquietude','disquiet','disquiets','disquietive','disquieted', 'worry','worried', worries','worriedness', 'worrying','worryings','fearing','fearings','feared','fearful', 'fearfuls', 'fears','fear', 'nerves','nerve','nerving','nerved', 'nerveness', 'jim-jams','jim-jaminess','jim-jam', 'eagernesses','eagerness','eager','eagerly','eagerlies','eagered','uneased','uneasilies','uneasily','uneases', 'unease', 'tension', 'misgiving','misgivings','misgiven','misgave', 'stress', 'stresses','stressful','stressfulness','edginesses','edginess', 'consternated', 'consternating', 'consternating', 'consternatings', 'consternation', 'consternations']"
8,attraction,"['attract', 'attracts', 'attracted', 'attracting', 'attractings', 'attractable', 'attractables', 'attraction', 'attractions', 'attractor', 'attractors', 'attractive', 'attractives', 'attractively', 'attractivelies', 'allure', 'alluring', 'allured', 'allures', 'alluring', 'allurings', 'entertainment', 'entertaining', 'entertainments', 'entertainings','entertain', 'entertains', 'beauty', 'beautiful', 'beautifuls', 'beauties', 'fascination', 'fascinate', 'fascinations', 'fascinates','fascinated', 'fascinating', 'enticement', 'enticements', 'entice', 'enticing', 'enticed', 'entices', 'seduction', 'seductions', 'seduce', 'seduced', 'seduces', 'seducing', 'seducings','magic', 'magics', 'magical', 'magicals', 'charm', 'charming', 'charmings', 'charms', 'charmed', 'magnetism', 'magnetisms', 'magnets', 'magnet','magnetic','magnetics','crowd-pleaser','crowd-pleasers', 'crowd-pleases', 'crowd-please', 'crowd-pleasing', 'crowd-pleasings', 'inducement','inducements','induce', 'inducing', 'inducings', 'induced','induces', 'come-on', 'attractiveness','attractivenesses','attractive', 'attract', 'attracted', 'attracts','attracting','attractings', 'allurement', 'allure', 'alluring', 'allurements', 'allures', 'allurings','allured', 'temptation',  'temptations','tempted', 'tempting', 'tempt', 'temptings', 'tempts','appeal', 'appealing', 'appealings','appeals', 'appealed', 'pull', 'pulls' , 'pulling', 'interest', 'interesting', 'interestings', 'interested', 'interests','activity', 'activities', 'lure',  'lured', 'luring', 'lurings', 'lures', 'seductiveness', 'feature', 'featured', 'features', 'featuring', 'featurings','enchantment','enchantments','enchanted', 'enchanting', 'enchantings','enchant', 'enchants','spell', 'spelling','spellings','spells','spelt', 'desirability', 'desirabilities', 'desire', 'desires','desirable', 'desirables','desiring','desirings', 'desired', 'desires',  'glamour','glamours', 'glamarous','glamarousness','glamarousnesses', 'diversion', 'diversions','diverse', 'diversed', 'diverses','diversing','diversings',  'charisma', 'charismas','charismatic', 'charismatics', 'draw', 'drawing','drawings','drawn', 'draws']"
9,boredom,"['bore', 'bored', 'boring', 'borings', 'boringly', 'boringlies', 'boredom', 'boredoms', 'dissatisfaction','dissatisfactions','dissatisfying','dissatisfyings', 'dissatisfied', 'dissatisfy', 'dissatifies', 'dissatisfactory', 'dissatisfactories', 'monotony', 'monotonies','monotonous', 'deadliness', 'deadlinesses','deadly','deadlies', 'languor', 'langorous', 'langorousness', 'langorousnesses', 'restlessness','restlessnesses', 'restless', 'sameness','samenesses','same', 'sames', 'sameful', 'samefuls', 'uniformity', 'uniformities','uniform', 'uniforms','uniformation', 'uniformations','uniformness','uniformnesses','uniformed', 'routine', 'routines', 'sluggishness', 'sluggishnesses', 'sluggish',, 'sluggishes', 'sluggished', 'dullness', 'dullnesses', 'dull', 'dulls', 'uninterestednesses', 'interestless', 'interestlessness','interestlessnesses', 'uninterestedness', 'uninterested', 'uninterestedly', 'humdrum', 'humdrums', 'blandness', 'bland', 'blanded', 'blandnesses', 'blandlies', 'blandly', 'tediousness', 'tediousnesses', 'tedious','tediously', 'tediouslies','world-weariness','world-wearinesses', 'dreariness','drearinesses', 'dread', 'dreadful',  'dreadfully','dreadfulness', 'sameyness', 'weariness', 'wear', 'wears', 'sameynesses', 'ennui', 'accidie', 'flatness', 'flatnesses', 'flat', 'flatly', 'frustration', 'frustated', 'frustating', 'malaise', 'unconcern', 'unconcerns','uncorcerned', 'unconcerning', 'unconcernings','tedium', 'tediums', 'repetitive', 'repetitively', 'repetitivenesses', 'repetitiveness', 'repetitive','repeat','repeatedly','apathy','apathies', 'restiveness', 'restivenesses', 'restive', 'restiveful', 'restivefuls']"
10,caution,"['caution', 'cautioned', 'cautions', 'cautioned', 'cautioning', 'cautionings', 'cautionate', 'cautionates', 'cautionatelies', 'heedfulness', 'heedfulnesses','heedful', 'caginess', 'caginesses', 'cage', 'caged', 'cagey', 'carefulness', 'carefulnesses', 'careful', 'carefuls', 'carefully', 'attention', 'attentions', 'attentive', 'attentives', 'admonishment', , 'admonishments','watchfulness','watchfulnesses','watchful', 'watchfuls','watchfulness','watchfulnesses','watched' , 'watch', 'watching', 'watchings', 'watches', 'forethought', 'attentiveness', 'attentive', 'attentively', 'attentivelies', 'talking-to', 'wariness', 'wary', 'waries', 'warily', 'vigilance', 'vigilances', 'vigilant', 'vigilants', 'viligent','viligents', 'viligently', 'viligentlies', 'guidance', 'guidances','guide', 'guiding', 'guidings', 'guides', 'guided', 'guiding','rebuke', 'rebukes', 'rebuked',  'rebuking', 'rebukings', 'injunction','injunctions','injunctings','injunctings', 'injucted', 'injuct', 'injucting', 'scolding', 'scoldings', 'scolder', 'scold', 'scolded', 'scolds', 'exhortation', 'exhortated', 'exhortationed', 'exhortationing', 'exhortationings', 'exhortate', 'exhortates', 'prudence', 'prudences', 'prude', 'prudes', 'reproof', 'reproofs', 'reproofing', 'reproofings', 'reproofed', 'warning', 'warn', 'warned', 'warnings', 'warns', 'ticking off', 'tick off', 'ticks off' 'ticked off', 'telling-off', 'tell-off', 'tell-offs', 'care', 'caring', 'carings', 'careable', 'carable', 'cared','cares', 'awareness', 'awarenesses', 'aware', 'awares', 'admonition', 'admonitions', 'admon', 'admons', 'circumspection', 'circumspections', 'circumspectioning', 'circumspectionings', 'circumspect', 'circumspects', 'circumspecting', 'circumspectings', 'chariness', 'charinesses', 'chary', 'charred','mindfulness','mindfulnesses', 'mindful', 'mindfuls', 'mind', 'minding', 'mindings', 'monition', 'monitions', 'monitioned', 'monitioning', 'monitionings', 'guardedness', 'guardednesses', 'guard', 'guards', 'guarded', 'guarding', 'guardings', 'reprimand', 'reprimands','reprimanded', 'reprimanding',  'reprimandings', 'heed', 'heeding', 'heedings', 'heeded', 'heeds', 'discretion', 'discretly', 'discret', 'discretes', 'caveat','caveats', 'alertness', 'alert','alertnesses', 'alerts', 'alerted','alerting','alertings', 'counsel', 'counseling', 'counselings', 'dressing-down', 'dressing-downs', 'dressed-down', 'dressed-downs']"
