Unnamed: 0,name,synonyms
1,acceptance,"['acceptings', 'tolerate', 'obtains', 'assumming', 'tracting', 'acceptors', 'confirmed', 'embraced', 'swallowed', 'confirmations', 'forbearances', 'forbear', 'forbeared', 'confirms', 'integrating', 'suffer', 'embraces', 'welcoming', 'ratifying', 'tractions', 'swallowings', 'assumed', 'assume', 'assuming', 'forbearable', 'receivable', 'tackles', 'undertaking', 'approves', 'approve', 'tackling', 'obtain', 'embrace', 'accepts', 'acquires', 'toleration', 'acquiring', 'tractings', 'adoptions', 'ratify', 'sufferances', 'suffers', 'receiving', 'confirming', 'affirm', 'obtainer', 'ratificated', 'endurements', 'endurant', 'approvals', 'tackler', 'accept', 'affirmations', 'assumings', 'suffered', 'endures', 'affirms', 'endurement', 'ratifies', 'adoption', 'forbearance', 'acquired', 'endurants', 'obtainings', 'adopted', 'takings', 'integrated', 'adopting', 'undertake', 'ratifications', 'taken', 'welcomings', 'acceptances', 'enduring', 'confirm', 'acceptables', 'undertakes', 'undertakings', 'took', 'confirmation', 'assummings', 'approval', 'tackled', 'obtainee', 'acquire', 'endurances', 'affirmed', 'confirmings', 'tackle', 'ratificate', 'sufferance', 'adopt', 'swallow', 'ratified', 'endure', 'welcomed', 'tract', 'embracable', 'obtainable', 'integrates', 'ratificatings', 'undertook', 'approvings', 'embracing', 'approving', 'ratificating', 'tolerations', 'accepted', 'taking', 'receive', 'assumption', 'acceptor', 'approved', 'obtainables', 'suffering', 'embracables', 'ratification', 'tracted', 'obtained', 'sufferings', 'integrations', 'affirmation', 'obtaining', 'embraceables', 'received', 'tracts', 'toleratings', 'integrate', 'assumptions', 'tolerates', 'accepting', 'embraceable', 'ratificates', 'endurance', 'tacklings', 'affirmings', 'receivings', 'tolerated', 'swallowing', 'swallows', 'welcomes', 'welcome', 'tolerating', 'integration', 'receives', 'acquirings', 'acceptance', 'undertaken', 'takes', 'endurings', 'adoptings', 'assumes', 'affirming', 'acceptable', 'traction', 'integratings', 'receivables', 'adopts', 'forbearabled', 'embracings', 'take']"
2,admiration,"['sensations', 'sensed', 'joy', 'praisings', 'enjoy', 'enjoyings', 'praised', 'enjoyments', 'applausable', 'enjoyment', 'venerate', 'enjoyables', 'lauding', 'laudations', 'approbations', 'acclaimables', 'regardings', 'admirable', 'approvables', 'appreciate', 'compliment', 'venerated', 'delightnesses', 'applauses', 'approbating', 'adulatings', 'commendation', 'appreciating', 'venerating', 'approbatings', 'delightfulnesses', 'praises', 'enjoying', 'admirings', 'wondered', 'approves', 'approve', 'enjoys', 'venerations', 'appreciation', 'acclaimable', 'sense', 'tributed', 'truting', 'approbation', 'joys', 'esteems', 'applausings', 'prouds', 'tributings', 'acclaiming', 'regard', 'sensation', 'proudfuls', 'approvals', 'wonderings', 'delightness', 'appreciated', 'prides', 'delights', 'admired', 'admire', 'admires', 'veneration', 'adulated', 'approvable', 'marvel', 'praising', 'admiration', 'respectings', 'tribute', 'commending', 'appreciatings', 'wonderful', 'adulating', 'wondernesses', 'approval', 'praisables', 'enjoyable', 'pride', 'acclaimed', 'compliments', 'appreciations', 'delight', 'complimentings', 'venerates', 'proud', 'wonders', 'esteem', 'esteemed', 'wonderfulness', 'delightful', 'commendations', 'commendings', 'admirations', 'sensing', 'applaused', 'marvellousnesses', 'joyous', 'sensings', 'marvels', 'praisable', 'proudful', 'approvings', 'tributes', 'acclaims', 'respects', 'regarding', 'admirables', 'proudness', 'approving', 'wonderness', 'applause', 'approbate', 'wonderfuls', 'plaudit', 'approved', 'complimentations', 'respectfulness', 'complimentation', 'acclaim', 'applausing', 'approbates', 'lauded', 'senses', 'laud', 'respecting', 'admiring', 'delighted', 'respected', 'laudings', 'lauds', 'accolade', 'delightfulness', 'laudation', 'marvellous', 'appreciates', 'marvellousness', 'complimeting', 'regards', 'wondering', 'plaudits', 'proudnesses', 'proudly', 'complemented', 'delightfuls', 'regarded', 'respectful', 'veneratings', 'accolades', 'adulation', 'wonder', 'commends', 'praise', 'respect', 'enjoyed', 'acclaimings', 'wonderfulnesses', 'adulations']"
3,affection,"['devotings', 'lovable', 'devote', 'attached', 'devoters', 'familiars', 'feel', 'closely', 'sentiment', 'regardnesses', 'familiarity', 'attention', 'mate', 'devoted', 'favourables', 'admirable', 'fondings', 'warms', 'loveable', 'fondling', 'cared', 'endearing', 'devotee', 'favoured', 'warmness', 'friendliness', 'favour', 'tendernesses', 'familiarities', 'felt', 'admirings', 'affects', 'devoter', 'liked', 'cares', 'favours', 'warmnesses', 'care', 'tender', 'friendlies', 'feelings', 'likes', 'attaching', 'regard', 'devotes', 'devotees', 'affinities', 'intimacy', 'caring', 'warmth', 'attending', 'attentives', 'friendly', 'fond', 'admired', 'respectfuls', 'admire', 'admires', 'closenesses', 'tenderful', 'tendering', 'affinity', 'endearments', 'lovables', 'affection', 'likely', 'attach', 'attachments', 'amities', 'admiration', 'familiar', 'respectings', 'endear', 'attaches', 'devoting', 'feeling', 'tenderings', 'close', 'devotion', 'loved', 'favourings', 'love', 'carefulnesses', 'tendered', 'admirations', 'affectable', 'affections', 'careful', 'lovings', 'respects', 'regardness', 'admirables', 'closeness', 'warm', 'loveables', 'loving', 'warmths', 'sentiments', 'respectfulness', 'amity', 'loves', 'carings', 'attendings', 'closelies', 'fonds', 'affectionate', 'fondliness', 'respecting', 'admiring', 'likeables', 'feels', 'respected', 'like', 'attentions', 'devotions', 'intimacies', 'friends', 'affected', 'liking', 'fondnesses', 'attentivenesses', 'endearings', 'likeable', 'regards', 'favouring', 'tenderfulnesses', 'favourable', 'attachment', 'tenderfulness', 'likings', 'fondful', 'endearment', 'regarded', 'respectful', 'endears', 'attentiveness', 'affectionates', 'fondly', 'fondness', 'friendships', 'affectables', 'attentive', 'attachings', 'tenderfuls', 'respectfulnesses', 'friendship', 'affect', 'likelies', 'carefulness', 'tenders', 'tenderness', 'respect', 'fondlinesses', 'friend']"
4,aggravation,"['ampifies', 'annoy', 'annoyance', 'irritate', 'compounding', 'irritation', 'snagged', 'quarrels', 'magnifyings', 'increaser', 'exacerbates', 'trialing', 'incovenient', 'amplify', 'bothers', 'irritant', 'vexations', 'vexing', 'botherings', 'difficult', 'inflammation', 'exasperations', 'aggravated', 'difficulties', 'inflamed', 'irritated', 'grievances', 'snaggings', 'magnification', 'exacerbating', 'inflammations', 'worsening', 'snagging', 'aggravates', 'increase', 'vexes', 'augment', 'intensifyings', 'snag', 'difficulty', 'vexed', 'problem', 'vex', 'aggravatings', 'exasperate', 'trials', 'inflame', 'exacerbations', 'pain', 'aggravatables', 'infuriates', 'irritatings', 'infuriated', 'exacerbatables', 'headache', 'worsens', 'exacerbatings', 'compoundness', 'exacerbation', 'aggravatable', 'aggravating', 'trial', 'trouble', 'intensify', 'magnifiable', 'hardnesses', 'painings', 'bothering', 'increasing', 'heighten', 'heightenings', 'aggravations', 'compounds', 'hard', 'infuriatings', 'exacerbate', 'infuriations', 'intensifications', 'pesting', 'irritates', 'aggravation', 'bother', 'inconveniences', 'vexation', 'pest', 'exacerbatable', 'augmentation', 'exasperates', 'troubled', 'pests', 'annoys', 'compounded', 'pains', 'infuriation', 'augmentations', 'sound', 'compound', 'irritations', 'trialed', 'nuisance', 'vexings', 'problemmatics', 'increased', 'heightened', 'augments', 'grievance', 'problems', 'exasperatings', 'aggro', 'headaches', 'worsen', 'inflamings', 'worsenings', 'snags', 'augmented', 'exasperating', 'compoundings', 'amplifyings', 'hardness', 'amplification', 'nuisances', 'infuriating', 'exasperation', 'problemmatic', 'difficults', 'hassling', 'aggravate', 'amplified', 'increasings', 'sounds', 'quarrel', 'painable', 'pestings', 'exacerbated', 'hassled', 'intensifying', 'augmenting', 'augmentings', 'magnifying', 'aggros', 'infuriate', 'magnifiables', 'inconvenients', 'pested', 'worse', 'heightening', 'noises', 'annoying', 'bothered', 'magnifies', 'hassles', 'heightens', 'hasslings', 'pained', 'amplifying', 'intenses', 'magnified', 'trialings', 'magnify', 'intense', 'increases', 'annoyed', 'annoyings', 'troubles', 'intensification', 'paining', 'inconvenience', 'annoyances', 'noise', 'hassle', 'painables', 'inflaming', 'amplifications']"
5,anger,"['irritate', 'annoy', 'annoyance', 'maddens', 'indignation', 'irritation', 'resentmentings', 'empurples', 'indignates', 'outrage', 'nettlings', 'irking', 'angry', 'nettling', 'enraging', 'gall', 'spleened', 'ruffling', 'cholers', 'provoking', 'incensings', 'antagonize', 'irked', 'dyspepsias', 'irks', 'incense', 'vexations', 'inflames', 'rage', 'enrage', 'nark', 'enrageable', 'exasperations', 'bile', 'aggravated', 'inflamed', 'irritated', 'galls', 'gravelled', 'raged', 'ire', 'mad', 'provoke', 'choler', 'vexable', 'fury', 'aggravates', 'ruffles', 'pissings', 'vexes', 'wraths', 'gravelings', 'vexed', 'exasperated', 'peevable', 'antagonizing', 'angered', 'peeves', 'needle', 'spleen', 'vex', 'aggravatings', 'antagonized', 'exasperate', 'empurple', 'inflame', 'wrathed', 'galled', 'infuriates', 'irritatings', 'infuriated', 'gravels', 'ruffler', 'displeasurings', 'provokings', 'rile', 'aggravating', 'dyspepsia', 'pique', 'furiousnesses', 'resentment', 'aggravations', 'exasperatable', 'antagonizings', 'provokes', 'angers', 'infuriatings', 'displeasings', 'infuriations', 'irritates', 'anger', 'aggravation', 'bugs', 'ruffled', 'peeving', 'vexation', 'ired', 'graveled', 'resentments', 'gravel', 'peeve', 'ires', 'ruffle', 'rufflings', 'annoys', 'rageness', 'maddened', 'infuriation', 'irritabilities', 'mads', 'gravelling', 'displease', 'irritations', 'inflammings', 'regenesses', 'irritability', 'incensed', 'furiousness', 'exasperatings', 'peevables', 'outragings', 'riles', 'vexables', 'enragings', 'irkings', 'miff', 'exasperating', 'nettles', 'nettled', 'bugged', 'displeasure', 'inflammables', 'displeasing', 'exasperation', 'infuriating', 'vexabled', 'indignated', 'aggravate', 'piqued', 'madden', 'displeasuring', 'needled', 'piss', 'bug', 'inflammable', 'galling', 'wrath', 'provoked', 'inflamming', 'resentmenting', 'graveling', 'pisses', 'irritating', 'displeasures', 'enrageabled', 'infuriate', 'biles', 'enraged', 'exasperatables', 'furious', 'pissed', 'annoying', 'pissing', 'needles', 'empurpled', 'angrily', 'outraging', 'indignate', 'gravellings', 'nettle', 'peevings', 'incensing', 'irk', 'peeved', 'indignating', 'indignations', 'gallings', 'enrageables', 'outraged', 'biled', 'indignatings', 'furies', 'annoyings', 'annoyances', 'spleens', 'displeasured', 'angrilies', 'antagonizes', 'displeased', 'miffs']"
6,anguish,"['anguishes', 'heartaches', 'unhappiness', 'heartbreaks', 'woes', 'tormenting', 'distressful', 'distresses', 'agony', 'despairings', 'despaired', 'woing', 'agonies', 'turturable', 'anguishingly', 'suffer', 'anguish', 'distressings', 'anguishing', 'despairing', 'sorrow', 'desolatings', 'sufferables', 'despairabled', 'woe', 'despairs', 'pain', 'suffers', 'purgatory', 'angst', 'unhappy', 'tortures', 'sorrows', 'suffered', 'painings', 'distress', 'tortured', 'dolours', 'agonizes', 'tormentings', 'sufferable', 'agonizing', 'torment', 'agonized', 'torture', 'misery', 'desolates', 'desolations', 'despairables', 'pains', 'heartbroken', 'heartache', 'anguished', 'torments', 'desolated', 'despairable', 'unhappinesses', 'purgatories', 'anguishinglies', 'griefs', 'torturing', 'suffering', 'painable', 'sufferings', 'despair', 'desolating', 'desolate', 'grief', 'miseries', 'torturables', 'pained', 'desolation', 'torturings', 'dolour', 'tormented', 'distressfuls', 'paining', 'heartbreak', 'painables', 'distressing', 'heartbroke']"
7,anxiety,"['anguishes', 'worry', 'fearfulness', 'nerves', 'apprehending', 'perturbation', 'jitters', 'fears', 'collywobble', 'agitating', 'eagered', 'stresses', 'consternations', 'eagerness', 'anxieties', 'tensioning', 'trepidest', 'unease', 'agitations', 'jim-jam', 'trepided', 'fearfulnesses', 'long', 'consternation', 'jittering', 'uneasilies', 'foreboded', 'disquietude', 'longing', 'anguish', 'fretfulness', 'perturbing', 'agitation', 'anguishing', 'suspensedest', 'perturbs', 'desires', 'eagerly', 'perturbations', 'apprehend', 'angstsangst', 'impatience', 'consternated', 'tensions', 'apprehension', 'impatient', 'agitates', 'trepids', 'uneases', 'keened', 'keenetics', 'worrying', 'worrinesses', 'worriments', 'nerveness', 'angsting', 'apprehended', 'agitatings', 'keenness', 'apprehensiveness', 'disquiets', 'jittered', 'uneasily', 'disquiet', 'worriness', 'misgiving', 'jitter', 'forebodings', 'concernest', 'collywobbles', 'eager', 'jitteriness', 'anxiety', 'twitching', 'collywobbled', 'agitate', 'consternating', 'fearing', 'fearful', 'keen', 'worriment', 'jittery', 'agitated', 'keenetic', 'fearfuls', 'concerneth', 'impatiening', 'concerned', 'worriedness', 'twitchiness', 'misgave', 'twitches', 'nervous', 'tensioned', 'misgiven', 'edginesses', 'anguished', 'nerve', 'eagerlies', 'edginess', 'foreboding', 'fearings', 'jim-jams', 'keenly', 'angsted', 'trepidations', 'nervousness', 'suspenseded', 'forebodes', 'perturb', 'tensionings', 'nervings', 'desired', 'worried', 'keens', 'concern', 'apprehendeth', 'fretfulnesses', 'impatiences', 'concernings', 'agitative', 'trepidation', 'nerved', 'tenseness', 'jitterings', 'apprehendest', 'disquietive', 'misgivings', 'suspenseding', 'collywobblings', 'twitched', 'collywobbling', 'stress', 'longs', 'eagernesses', 'uneasing', 'stressful', 'concerns', 'jitteries', 'nerving', 'worryings', 'fretfulings', 'fretfuling', 'fretful', 'suspensed', 'suspenses', 'disquieted', 'suspense', 'stressfulness', 'tension', 'anguishings', 'uneasiness', 'feared', 'desire', 'apprehensivenesses', 'uneased', 'nervousnesses', 'trepid', 'twitchings', 'fear', 'uneasy', 'apprehens', 'jim-jaminess', 'worries', 'concerning', 'uneasings', 'impatienced', 'disquieting', 'twitch', 'consternatings']"
8,attraction,"['desirabilities', 'come-on', 'lurings', 'desirings', 'diversed', 'entertain', 'fascinated', 'pulling', 'allurements', 'desirable', 'magnetisms', 'charisma', 'beautiful', 'activity', 'beauties', 'activities', 'lures', 'charming', 'attractable', 'attract', 'diversing', 'attracts', 'interested', 'crowd-pleasing', 'charms', 'seductions', 'features', 'magicals', 'appealings', 'desires', 'crowd-pleasers', 'pulls', 'pull', 'enchanted', 'fascinating', 'attractions', 'attractiveness', 'luring', 'appealing', 'enchantments', 'tempts', 'charismas', 'enchantment', 'diversions', 'feature', 'charmed', 'tempting', 'appeals', 'draws', 'seduction', 'inducings', 'crowd-pleasings', 'desiring', 'drawn', 'fascinates', 'beauty', 'spelling', 'spells', 'magnet', 'glamarousnesses', 'charmings', 'attraction', 'drawings', 'temptations', 'diversion', 'diverses', 'alluring', 'allure', 'featuring', 'attractables', 'charismatics', 'lure', 'attracted', 'magnetics', 'entices', 'glamarousness', 'spellings', 'crowd-pleaser', 'entertainments', 'magic', 'interestings', 'attracting', 'beautifuls', 'allurement', 'enticing', 'charismatic', 'inducing', 'glamours', 'charm', 'desirables', 'entice', 'enchanting', 'attractors', 'interests', 'desirability', 'diverse', 'attractivelies', 'inducements', 'magical', 'fascination', 'featurings', 'entertainment', 'allured', 'featured', 'allures', 'entertaining', 'induce', 'desired', 'enchants', 'enticement', 'tempt', 'attractive', 'spelt', 'draw', 'seduced', 'attractively', 'allurings', 'induces', 'fascinate', 'seduce', 'crowd-please', 'attractivenesses', 'enchant', 'temptation', 'magnets', 'spell', 'glamour', 'seduces', 'induced', 'attractings', 'entertainings', 'fascinations', 'drawing', 'interest', 'interesting', 'attractor', 'appeal', 'enticements', 'attractives', 'enchantings', 'seducing', 'glamarous', 'inducement', 'enticed', 'seductiveness', 'temptings', 'magnetism', 'desire', 'diversings', 'appealed', 'seducings', 'magnetic', 'crowd-pleases', 'magics', 'entertains', 'lured', 'tempted']"
9,boredom,"['samefuls', '', 'bland', 'boring', 'tediums', 'restless', 'sames', 'weariness', 'uniformations', 'uniformation', 'sluggishnesses', 'tediousness', 'unconcerns', 'flatnesses', 'dullness', 'dulls', 'interestless', 'restlessnesses', 'bored', 'boredoms', 'drearinesses', 'blandnesses', 'sluggish', 'sameness', 'routine', 'monotony', 'repetitively', 'langorousnesses', 'routines', 'dreadfulness', 'dissatisfactory', 'repeat', 'restivefuls', 'flatness', 'interestlessnesses', 'tedious', 'malaise', 'uncorcerned', 'repetitive', 'tediousnesses', 'blandness', 'world-wearinesses', 'dullnesses', 'sameynesses', 'uniform', 'frustating', 'monotonies', 'blandly', 'dread', 'uniformnesses', 'dull', 'restiveful', 'tediouslies', 'dissatisfied', 'uniformed', 'languor', 'dissatisfy', 'uninterested', 'bore', 'deadliness', 'restlessness', 'unconcernings', 'langorous', 'unconcerning', 'dreariness', 'blanded', 'repetitivenesses', 'blandlies', 'tediously', 'uninterestedness', 'deadlinesses', 'uniformity', 'flatly', 'world-weariness', 'deadlies', 'restive', 'dreadfully', 'frustration', 'apathy', 'ennui', 'sluggishness', 'dissatisfactories', 'boringlies', 'uniforms', 'interestlessness', 'wears', 'restivenesses', 'wear', 'sameful', 'uniformities', 'apathies', 'humdrum', 'borings', 'sluggishes', 'repeatedly', 'humdrums', 'boredom', 'unconcern', 'deadly', 'sluggished', 'dissatifies', 'tedium', 'same', 'repetitiveness', 'dissatisfactions', 'flat', 'uninterestednesses', 'accidie', 'monotonous', 'dissatisfaction', 'dissatisfying', 'uniformness', 'dreadful', 'sameyness', 'frustated', 'boringly', 'dissatisfyings', 'restiveness', 'uninterestedly', 'langorousness', 'samenesses']"
10,caution,"['', 'admons', 'prudes', 'watches', 'reproofs', 'scolded', 'rebuking', 'wary', 'heeds', 'vigilances', 'rebukes', 'scolds', 'exhortationed', 'counsel', 'attention', 'scoldings', 'alerts', 'monitioned', 'mindfuls', 'reproofings', 'cage', 'dressed-down', 'alertnesses', 'mindfulnesses', 'prudence', 'viligently', 'injucted', 'cared', 'talking-to', 'circumspectings', 'monition', 'watchfulness', 'cautioned', 'attentively', 'waries', 'guided', 'heeded', 'guardednesses', 'alertings', 'reprimanding', 'watchings', 'circumspections', 'watched', 'cares', 'alerting', 'exhortates', 'alerted', 'mindfulness', 'cautionings', 'wariness', 'circumspectioning', 'care', 'warned', 'heed', 'discret', 'injuct', 'guidings', 'charred', 'circumspect', 'guidances', 'counseling', 'discretly', 'awareness', 'warily', 'mind', 'ticksofftickedoff', 'caution', 'caring', 'guides', 'cautionate', 'guardings', 'alertness', 'dressing-downs', 'attentives', 'monitionings', 'rebuke', 'heeding', 'injunction', 'guards', 'guarded', 'cagey', 'heedful', 'guardedness', 'tell-off', 'circumspection', 'injunctings', 'monitions', 'cautionates', 'guidance', 'admonition', 'carefuls', 'awarenesses', 'warnings', 'discretion', 'admon', 'watching', 'mindings', 'reprimands', 'dressed-downs', 'heedfulness', 'exhortated', 'reprimanded', 'watchfulnesses', 'admonitions', 'injucting', 'rebuked', 'cautionatelies', 'carefulnesses', 'vigilants', 'guide', 'reproof', 'counselings', 'awares', 'caginess', 'careful', 'prude', 'tell-offs', 'prudences', 'carable', 'viligentlies', 'guiding', 'caveat', 'carefully', 'reprimand', 'dressing-down', 'attentivelies', 'aware', 'charinesses', 'cautioning', 'carings', 'careable', 'reproofing', 'reprimandings', 'admonishment', 'attentions', 'watchful', 'warns', 'watch', 'guarding', 'heedings', 'viligents', 'caged', 'scolder', 'reproofed', 'telling-off', 'circumspecting', 'monitioning', 'circumspectionings', 'discretes', 'exhortation', 'tickoff', 'circumspects', 'chary', 'vigilant', 'mindful', 'cautions', 'exhortationings', 'admonishments', 'scold', 'exhortationing', 'attentiveness', 'forethought', 'heedfulnesses', 'warning', 'exhortate', 'minding', 'rebukings', 'scolding', 'tickingoff', 'attentive', 'guard', 'injunctions', 'caveats', 'watchfuls', 'carefulness', 'warn', 'caginesses', 'viligent', 'vigilance', 'chariness', 'alert']"
